coordinate_x,coordinate_y,coordinate_z,y_probe
63.96,-76.22,-10.0,440.01
70.36,-70.36,-10.0,439.78
76.22,-63.96,-10.0,439.65
81.51,-57.07,-10.0,439.44
86.17,-49.75,-10.0,439.39
90.18,-42.05,-10.0,439.25
93.5,-34.03,-10.0,439.07
96.11,-25.75,-10.0,438.84
97.99,-17.28,-10.0,438.85
99.12,-8.67,-10.0,438.8
100.0,0.0,0.0,438.71
99.62,8.72,0.0,438.77
98.48,17.36,0.0,438.88
96.59,25.88,0.0,438.95
93.97,34.2,0.0,439.08
90.63,42.26,0.0,439.24
86.6,50.0,0.0,439.36
81.92,57.36,0.0,439.48
76.6,64.28,0.0,439.73
70.71,70.71,0.0,439.92
64.28,76.6,0.0,440.05
57.36,81.92,0.0,440.37
50.0,86.6,0.0,440.45
42.26,90.63,0.0,440.61
34.2,93.97,0.0,440.76
25.88,96.59,0.0,440.81
17.36,98.48,0.0,440.94
8.72,99.62,0.0,440.89
0.0,100.0,0.0,440.95
-8.72,99.62,0.0,440.78
-17.36,98.48,0.0,440.84
-25.88,96.59,0.0,440.83
-34.2,93.97,0.0,440.77
-42.26,90.63,0.0,440.6
-50.0,86.6,0.0,440.51
-57.36,81.92,0.0,440.3
-64.28,76.6,0.0,440.09
-70.71,70.71,0.0,439.86
-76.6,64.28,0.0,439.68
-81.92,57.36,0.0,439.55
-86.6,50.0,0.0,439.41
-90.63,42.26,0.0,439.23
-93.97,34.2,0.0,439.1
-96.59,25.88,0.0,438.96
-98.48,17.36,0.0,438.85
-99.62,8.72,0.0,438.77
-100.0,0.0,0.0,438.82
-99.62,-8.72,0.0,438.86
-98.48,-17.36,0.0,438.87
-96.59,-25.88,0.0,439.02
-93.97,-34.2,0.0,439.13
-90.63,-42.26,0.0,439.19
-86.6,-50.0,0.0,439.42
-81.92,-57.36,0.0,439.51
-76.6,-64.28,0.0,439.68
-70.71,-70.71,0.0,439.89
-64.28,-76.6,0.0,440.03
-57.36,-81.92,0.0,440.26
-50.0,-86.6,0.0,440.34
-42.26,-90.63,0.0,440.49
-34.2,-93.97,0.0,440.57
-25.88,-96.59,0.0,440.66
-17.36,-98.48,0.0,440.68
-8.72,-99.62,0.0,440.73
0.0,-100.0,0.0,440.67
8.72,-99.62,0.0,440.7
17.36,-98.48,0.0,440.72
25.88,-96.59,0.0,440.63
34.2,-93.97,0.0,440.61
42.26,-90.63,0.0,440.41
50.0,-86.6,0.0,440.34
57.36,-81.92,0.0,440.12
64.28,-76.6,0.0,439.94
70.71,-70.71,0.0,439.8
76.6,-64.28,0.0,439.53
81.92,-57.36,0.0,439.38
86.6,-50.0,0.0,439.2
90.63,-42.26,0.0,439.05
93.97,-34.2,0.0,438.96
96.59,-25.88,0.0,438.86
98.48,-17.36,0.0,438.79
99.62,-8.72,0.0,438.83
99.5,0.0,10.0,438.62
99.12,8.67,10.0,438.65
97.99,17.28,10.0,438.65
96.11,25.75,10.0,438.78
93.5,34.03,10.0,438.93
90.18,42.05,10.0,439.02
86.17,49.75,10.0,439.27
81.51,57.07,10.0,439.37
76.22,63.96,10.0,439.64
