coordinate_x,coordinate_y,coordinate_z,y_probe
19.83,93.31,30.0,439.84
9.97,94.87,30.0,439.91
0.0,95.39,30.0,439.96
-9.97,94.87,30.0,439.97
-19.83,93.31,30.0,439.94
-29.48,90.72,30.0,439.83
-38.8,87.14,30.0,439.77
-47.69,82.61,30.0,439.56
-56.07,77.17,30.0,439.53
-63.83,70.89,30.0,439.21
-70.89,63.83,30.0,439.04
-77.17,56.07,30.0,438.82
-82.61,47.69,30.0,438.63
-87.14,38.8,30.0,438.48
-90.72,29.48,30.0,438.34
-93.31,19.83,30.0,438.23
-94.87,9.97,30.0,438.1
-95.39,0.0,30.0,438.11
-94.87,-9.97,30.0,438.14
-93.31,-19.83,30.0,438.18
-90.72,-29.48,30.0,438.28
-87.14,-38.8,30.0,438.39
-82.61,-47.7,30.0,438.52
-77.17,-56.07,30.0,438.79
-70.89,-63.83,30.0,439.02
-63.83,-70.89,30.0,439.17
-56.07,-77.17,30.0,439.4
-47.7,-82.61,30.0,439.66
-38.8,-87.14,30.0,439.76
-29.48,-90.72,30.0,439.9
-19.83,-93.31,30.0,439.95
-9.97,-94.87,30.0,439.97
0.0,-95.39,30.0,440.02
9.97,-94.87,30.0,440.07
19.83,-93.31,30.0,439.98
29.48,-90.72,30.0,439.93
38.8,-87.14,30.0,439.77
47.7,-82.61,30.0,439.57
56.07,-77.17,30.0,439.36
63.83,-70.89,30.0,439.14
70.89,-63.83,30.0,438.99
77.17,-56.07,30.0,438.77
82.61,-47.7,30.0,438.61
87.14,-38.8,30.0,438.34
90.72,-29.48,30.0,438.23
93.31,-19.83,30.0,438.07
94.87,-9.97,30.0,438.0
91.65,0.0,40.0,437.54
91.15,9.58,40.0,437.57
89.65,19.06,40.0,437.59
87.16,28.32,40.0,437.74
83.73,37.28,40.0,437.84
79.37,45.82,40.0,437.99
74.15,53.87,40.0,438.13
68.11,61.33,40.0,438.43
61.33,68.11,40.0,438.64
53.87,74.15,40.0,438.81
45.83,79.37,40.0,438.96
37.28,83.73,40.0,439.09
28.32,87.16,40.0,439.14
19.06,89.65,40.0,439.25
9.58,91.15,40.0,439.3
0.0,91.65,40.0,439.37
-9.58,91.15,40.0,439.43
-19.06,89.65,40.0,439.39
-28.32,87.16,40.0,439.33
-37.28,83.73,40.0,439.22
-45.82,79.37,40.0,439.12
-53.87,74.15,40.0,438.99
